sep=,
"Bintang","Petak","Layer","Elemen","Bentuk","Nama","Id","FileIkon","Status","Selesai","Kind","Deskripsi","Prompt","PathIkon"
"1","1","Segel","Arcane","Dot","Keen Sigil","segelmata","Icon_segelmata.png","placeholder","","Passive","+8% critical chance. Passive - never fires.","a round wax seal stamped with a wide unblinking lidless eye set inside a diamond, perfectly symmetrical, flat heraldic stamp with a single ring border, iris in bright violet #B478FF on deep arcane purple #2A1147, static and watchful with no glow rays and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelmata.png"
"1","1","Segel","Arcane","Dot","Ward Sigil","segelpenangkal","Icon_segelpenangkal.png","placeholder","","Passive","Kutukan yang menempel padamu berakhir 20% lebih cepat.","a round wax seal stamped with an open upright palm, fingers pressed together, a small circle carved in the center of the palm, a perfectly symmetrical hamsa-like warding emblem with a single ring border, hand in pale violet #B478FF on deep arcane purple #2A1147, flat and protective with no energy and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelpenangkal.png"
"1","1","Skill","Arcane","Dot","Minor Heal","minorheal","Icon_minorheal.png","placeholder","","Heal","A small top-up on a long cooldown. One cell.","A single fat teardrop of glowing liquid hovering above an open cupped palm, one small sparkle beside it. Small, quiet, rounded, non-aggressive. Arcane palette: parchment #E8D9B0 droplet on deep void purple #2A1147, violet #B478FF palm. dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_minorheal.png"
"1","1","Skill","Fire","Dot","Fireball","fireball","Icon_fireball.png","placeholder","","Projectile","""Fast single bolt. One cell \u2014 it fits wherever nothing else will.""","a single compact comet of fire flying diagonally upward, round molten head with a short teardrop tail of two flame tongues, one small ember shed behind it, bright orange #FF6A26 flame over deep ember red #7A1F0B underbelly, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_fireball.png"
"1","1","Skill","Ice","Dot","Frost Shard","frostshard","Icon_frostshard.png","placeholder","","Projectile","A fast shard. The cheapest source of CHILL.","a single slender icicle dart tilted diagonally upward-right, angular faceted point, two small frozen motes trailing behind its tail to imply speed, glassy pale ice #6FD6FF with deep teal #123A52 facet shadows and one white glint on the tip, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_frostshard.png"
"1","1","Skill","Lightning","Dot","Spark Bolt","sparkbolt","Icon_sparkbolt.png","placeholder","","Projectile","The fastest bolt in the book. Applies SHOCK.","A single fat arrowhead-shaped dart of solid lightning streaking diagonally, its body one thick angular zigzag wedge with a short blunt spark trail of two chunky fragments behind it, drawn in bright golden yellow #FFD84D over a deep storm umber #4A3A00 glow, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_sparkbolt.png"
"1","2","Rune","Arcane","Line2","Void Rune","voidrune","Icon_voidrune.png","placeholder","","Line","'2 panjang. Tiap petak skill di atasnya: radius +25%.'","A two-cell stone strip carved with a single engraved ring whose center has been eaten away into a black hollow, a thin faint corona of violet light tracing the rim of the emptiness, a dark calm carved base tile with low contrast on purpose, deep arcane stone in #2A1147 with the hollow in pure #14100C and a restrained corona line of #B478FF, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_voidrune.png"
"1","2","Segel","Arcane","Line2","Chain Sigil","segelrantai","Icon_segelrantai.png","placeholder","","Passive","+1 ailment point per application. Fills trigger thresholds faster.","a round wax seal stamped with a ring of interlocked chain links framing one bold central link, perfectly symmetrical heraldic stamp, links in violet #B478FF pressed into deep arcane purple #2A1147, flat and rigid with no swinging and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelrantai.png"
"1","2","Segel","Arcane","Line2","Ember Sigil","segelbara","Icon_segelbara.png","placeholder","","Passive","2 long. +3 mana per second. Passive - never fires.","a small round wax seal stamped with a single still candle-flame emblem inside a plain carved ring, the teardrop flame perfectly symmetrical and frozen like a heraldic charge, soft violet #B478FF glyph on deep arcane purple #2A1147, flat and calm with no sparks, no embers, no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_segelbara.png"
"1","2","Segel","Arcane","Line2","Flowing Ink","tintamengalir","Icon_tintamengalir.png","placeholder","","Passive","2 long. +2.5 defence. Passive - never fires.","a round wax seal stamped with one fat ink droplet suspended above a shallow open inkwell, perfectly symmetrical, flat like a scribe's guild stamp with a single ring border, glyph in muted violet #B478FF on deep arcane purple #2A1147 with an ink-black #14100C well mouth, still and quiet with no drips and no motion, dark fantasy game asset, toon shaded, thick uniform black outline, flat cel shading with only two tone steps, limited palette, strong rim light from upper left, bold readable silhouette, centered, no text, no watermark, no border frame, transparent background, painterly-graphic hybrid in the style of Hades and Cult of the Lamb","D:\GameGamma\Project_S1(fix)\Assets\GameData\Icons\Icon_tintamengalir.png"
