sep=,
Id,Nama,Layer,Kind,Element,Bintang,Bentuk,Damage,Cooldown,Range,Radius,Mana,Hits,Forks,Bounces,BounceRange,Status,DurasiStatus,Poin,Aura,AuraValue,ElementMatchBonus,Stats,Trigger,TriggerStatus,TriggerPoints,KonsumsiPoinTrigger,MaxDetonations,ZoneDuration,ZoneTickInterval,ZoneDrift,TelegraphDelay,PushForce,LiftDuration,TravelSpeed,GrantOnCast,GrantOnKill,ConsumesCharge,DamagePerCharge,PunyaIkon,Blurb,DPS,ManaPerDetik
absolutezero,Absolute Zero,Skill,Radial,Ice,5,CINCIN,76,2.6,13,0.9,9,16,1,4,8,CHILL,5,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"EVOLVED. Tidak membidik siapa pun. Enam belas pecahan es menyembur ke SEGALA ARAH, dan polanya berputar acak tiap tembakan.",29.23,3.46
arcbolt,Arc Bolt,Skill,Chain,Lightning,1,SIKU,14,1.9,8,9,2,3,1,0,6,SHOCK,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Leaps from enemy to enemy. Applies SHOCK.,7.37,1.05
ashfall,Ashfall,Skill,Zone,Fire,2,BENGKOK S,5,5.5,11,4,9,1,1,0,6,BURN,5,2,,0,0,,Cooldown,,10,yes,8,5,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Burning ash that settles and keeps burning.,0.91,1.64
badaisalju,Snowstorm,Skill,Zone,Ice,2,KOTAK 2x2,5,6,10,4.2,10,1,1,0,6,CHILL,3,1,,0,0,,Cooldown,,10,yes,8,6,0.6,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. A freezing storm that stays on the ground. Applies CHILL.,0.83,1.67
belatiberputar,Whirling Blade,Skill,Radial,Arcane,1,GARIS 2,12,1.6,5.5,0.6,2,5,1,0,0,BLEED,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Melempar lima belati ke segala arah sekaligus. Tidak membidik — dia cuma menunggu ada yang cukup dekat. Sumber BLEED.,7.5,1.25
blinkstep,Blink Step,Skill,Blink,Arcane,1,GARIS 2,0,7,7,0,14,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Melompat 7 unit menjauh dari kerumunan terpadat. Diam saja kalau tidak ada yang mengepung.,,2
blizzard,Blizzard,Skill,Nova,Ice,2,BENGKOK S,13,3,6.5,6.5,5,1,1,0,6,CHILL,5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Wide freezing blast centred on you. Applies CHILL.,4.33,1.67
bulwark,Bulwark,Skill,Ward,Arcane,4,LEMPENG 3x2,320,15,0,0,52,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,10,0.5,0,0.9,12,1.6,9,Fortify,,,0.35,yes,"Perisai menyerap 320 damage selama 10 detik, DAN mengeraskan kulit selama perisainya berdiri.",21.33,3.47
cahayapembersih,Cleansing Light,Skill,Cleanse,Arcane,1,GARIS 2,0,8,0,0,16,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Membuang SEMUA kutukan sekaligus. Diam saja kalau tidak ada yang perlu dibuang.,,2
cataclysm,Cataclysm,Skill,AreaAtTarget,Fire,5,BLOK 3x3,150,5.5,12,12,20,1,1,0,6,BURN,5,3,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Langit terbuka. Tidak ada yang selamat dua kali di dalam kawah.,27.27,3.64
chainlightning,Chain Lightning,Skill,Chain,Lightning,2,KOTAK 2x2,30,2.2,9,9,4,5,1,0,6,SHOCK,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Leaps five times. Reaches far past its own range.,13.64,1.82
chaosmeteor,Chaos Meteor,Skill,RollingBall,Fire,4,HURUF H,290,5.5,18,2.3,16,1,1,0,6,BURN,6,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,7.5,,,,0.35,yes,"Meteor yang jatuh lalu terus menggelinding melintasi lapangan, membakar seluruh jalurnya.",52.73,2.91
chronorune,Chrono Rune,Rune,Line,Arcane,1,GARIS 3,0,0.05,0,0,0,1,1,0,6,,0,1,CooldownPct,0.35999998,0,MoveSpeed+0.4,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,3 panjang. Tiap petak skill di atasnya: cooldown -12%.,,0
cinderpatch,Cinder Patch,Skill,Zone,Fire,1,GARIS 2,4,4.5,9,2.8,4,1,1,0,6,BURN,4,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"Leaves smouldering ground. Cheap, constant BURN.",0.89,0.89
emberburst,Ember Burst,Skill,Nova,Fire,1,GARIS 2,9,2.6,4,4,3,1,1,0,6,BURN,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Bursts into flame around you. Applies BURN.,3.46,1.15
emberroll,Rolling Ember,Skill,RollingBall,Fire,2,HURUF L,58,3.2,12,1.3,5,1,1,0,6,BURN,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,8,,,,0.35,yes,Bola bara yang MENGGELINDING menembus gerombolan dan melindas semua yang dilewatinya. Satu musuh cuma bisa dilindas sekali per bola.,18.12,1.56
emberrune,Ember Rune,Rune,Line,Fire,1,KOTAK 2x2,0,0.05,0,0,0,1,1,0,6,,0,1,DamagePct,0.8,0.4,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,2x2. Tiap petak skill di atasnya: +20% damage.,,0
fajarpembersih,Cleansing Dawn,Skill,Cleanse,Arcane,2,KOTAK 2x2,40,7,0,0,24,1,1,0,6,,0,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Membuang semua kutukan dan menyembuhkan sekalian.,5.71,3.43
fireball,Fireball,Skill,Projectile,Fire,1,TITIK,28,1.1,7,0.7,1,1,1,0,6,BURN,4,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Fast single bolt. One cell — it fits wherever nothing else will.,25.45,0.91
firestormcore,Firestorm Core,Skill,AreaAtTarget,Fire,3,SUDUT V,42,3,12,6,7,1,1,0,6,BURN,5,2,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Drops a burning core into the thick of them.,14,2.33
flamelash,Flame Lash,Skill,Line,Fire,1,GARIS 2,20,2,9,1,2,1,1,0,6,BURN,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Whips a line of fire outward. Applies BURN.,10,1
frostbitefield,Frostbite Field,Skill,Zone,Ice,2,HURUF L,5,5.5,10,4.2,9,1,1,0,6,CHILL,5,2,,0,0,,Cooldown,,10,yes,8,5,0.5,0,0.9,12,1.6,9,,,,0.35,yes,EVOLVED. Freezes the ground itself. Everything inside crawls.,0.91,1.64
frostnova,Frost Nova,Skill,Nova,Ice,1,SIKU,9,3,4.5,4.5,3,1,1,0,6,CHILL,3.5,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,Freezing burst centred on you. Applies CHILL.,3,1
frostrune,Frost Rune,Rune,AuraOnly,Ice,1,KOTAK 2x2,0,1,0,0,0,1,1,0,6,,0,1,DamagePct,0.8,0.4,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,"2x2 base. Damage aura, and ice skills on top of it hit harder still.",,0
frostshard,Frost Shard,Skill,Projectile,Ice,1,TITIK,30,1.2,7,0.7,1,1,1,0,6,CHILL,3,1,,0,0,,Cooldown,,10,yes,8,4,0.5,0,0.9,12,1.6,9,,,,0.35,yes,A fast shard. The cheapest source of CHILL.,25,0.83
